age,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,lg_id,mp,name,obpm,orb_pct,ows,per,pid,pos,ring,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48
25,4.0,1.1,-3.2,1.7,20.0,0.0,.000,.172,4,NBA,90,Tyler Zeller,-4.9,2.4,0.0,12.5,9,C,False,2014-15,1.1,BOS,11.4,10.9,.545,17.5,0.0,0.1,.033
26,10.1,4.7,-1.8,1.5,32.2,0.1,.000,.400,3,NBA,38,Tyler Zeller,-3.3,10.3,0.0,18.8,9,C,False,2015-16,0.0,BOS,10.2,20.6,.510,22.3,0.0,0.1,.130
27,16.3,2.2,-2.6,0.2,17.1,0.0,.000,.320,11,NBA,78,Tyler Zeller,-2.7,11.6,0.1,15.8,9,C,False,2016-17,0.0,BOS,12.3,14.3,.561,18.9,0.0,0.2,.099
28,6.1,4.1,4.0,4.7,20.3,0.1,.000,.800,7,NBA,66,Tyler Zeller,-0.7,3.9,0.1,13.4,9,C,False,2017-18,3.2,MIL,12.9,12.6,.814,5.7,0.1,0.3,.183
21,5.8,5.0,-1.9,4.2,9.9,0.0,.000,.444,4,NBA,53,Cody Zeller,-6.1,11.4,0.0,6.9,10,C,False,2013-14,0.0,CHA,15.7,10.7,.372,11.5,0.0,0.0,-0.010
23,2.9,1.7,-3.6,-0.5,25.1,0.1,.000,.553,7,NBA,137,Cody Zeller,-3.1,7.0,0.3,16.8,10,C,False,2015-16,0.4,CHO,12.9,15.4,.624,18.9,-0.1,0.4,.141
29,,,,,,0.2,,.487,9,BAA,,Matt Zunic,,,-0.4,,11,,False,1948-49,,WSC,,,.274,,,-0.1,
23,8.0,3.3,-0.1,2.3,10.1,0.0,.250,.375,5,NBA,23,Wang Zhizhi,-2.4,0.0,0.0,16.3,16,C,False,2000-01,2.4,DAL,9.7,4.8,.536,20.8,0.0,0.0,.099
24,10.4,1.6,3.1,0.0,7.2,0.0,.375,.375,8,NBA,44,Wang Zhizhi,3.1,12.3,0.2,16.1,16,C,False,2001-02,0.0,DAL,0.0,9.7,.536,18.5,0.1,0.1,.161
26,22.5,0.0,-18.0,-5.3,0.0,0.0,,,3,NBA,7,Wang Zhizhi,-12.8,0.0,0.0,-5.5,16,C,False,2003-04,0.0,MIA,100.0,0.0,,6.8,0.0,0.0,-0.168
23,0.0,0.0,-5.0,2.9,0.0,0.0,,,1,NBA,1,Phil Zevenbergen,-7.8,0.0,0.0,0.0,17,C,False,1987-88,0.0,SAS,,0.0,,0.0,0.0,0.0,-0.017
23,9.1,,,,,0.1,,.200,15,NBA,67,Gary Zeller,,,-0.3,5.1,21,SG,False,1970-71,,BAL,,9.0,.341,,,-0.2,-0.119
24,0.0,,,,,0.0,.000,1.000,3,ABA,9,Gary Zeller,,,0.0,-22.8,21,SG,False,1971-72,,NYA,67.6,5.6,.694,19.9,,0.0,.108
22,26.4,,,,,0.0,,.000,2,NBA,5,Dave Zeller,,,0.0,18.0,22,PG,False,1961-62,,CIN,,,.500,,,0.0,.069
22,0.0,,,,,0.0,,.333,2,NBA,18,Zeke Zawoluk,,,-0.2,-13.1,23,PF,False,1952-53,,INO,,,.145,,,-0.1,-0.359
21,,,,,,0.7,,.221,11,BAA,,Max Zaslofsky,,,0.9,,24,SG,False,1946-47,,CHS,,,.341,,,1.6,
22,,,,,,0.0,,.534,5,BAA,,Max Zaslofsky,,,1.1,,24,SG,False,1947-48,,CHS,,,.446,,,1.1,
23,,,,,,0.1,,.367,2,BAA,,Max Zaslofsky,,,0.0,,24,SG,False,1948-49,,CHS,,,.387,,,0.2,
24,,,,,,0.0,,.563,2,NBA,,Max Zaslofsky,,,0.5,,24,SG,False,1949-50,,CHS,,,.564,,,0.5,
25,,,,,,0.4,,.461,14,NBA,,Max Zaslofsky,,,1.3,,24,SG,False,1950-51,,NYK,,,.479,,,1.6,
26,10.5,,,,,0.2,,.595,14,NBA,506,Max Zaslofsky,,,0.7,14.7,24,SG,False,1951-52,,NYK,,,.486,,,0.9,.087
28,13.4,,,,,0.1,,.417,4,NBA,98,Max Zaslofsky,,,-0.1,9.8,24,SG,False,1953-54,,FTW,,,.411,,,0.0,-0.012
29,26.9,,,,,0.1,,.455,11,NBA,129,Max Zaslofsky,,,0.3,14.9,24,SG,False,1954-55,,FTW,,,.492,,,0.4,.139
22,34.6,5.0,-5.0,10.3,73.9,0.0,.333,.000,1,NBA,17,Jusuf Nurkic,-15.3,0.0,-0.1,7.4,25,C,False,2016-17,0.0,POR,50.0,34.3,.333,14.7,0.0,0.0,-0.133
23,6.5,4.3,2.3,3.8,25.7,0.1,.000,.282,4,NBA,94,Jusuf Nurkic,-1.6,13.0,0.2,23.0,25,C,False,2017-18,3.1,POR,6.4,18.8,.536,21.3,0.1,0.3,.160
22,7.0,1.5,4.5,1.4,19.5,0.3,.282,.577,10,NBA,399,Dirk Nowitzki,3.1,3.7,1.4,22.3,27,PF,False,2000-01,1.5,DAL,6.4,11.3,.573,25.3,0.7,1.7,.206
23,8.2,1.2,4.2,3.1,26.1,0.3,.171,.451,8,NBA,357,Dirk Nowitzki,1.1,5.1,1.1,24.8,27,C,False,2001-02,2.2,DAL,10.1,15.7,.577,26.7,0.6,1.4,.193
24,8.7,1.7,2.7,2.1,27.7,0.6,.195,.361,17,NBA,722,Dirk Nowitzki,0.6,2.3,1.9,23.2,27,PF,False,2002-03,1.5,DAL,9.9,14.9,.593,25.1,0.8,2.6,.172
25,5.7,4.4,5.9,2.3,23.5,0.2,.150,.420,5,NBA,212,Dirk Nowitzki,3.7,5.3,1.0,27.5,27,C,False,2003-04,1.6,DAL,4.8,13.4,.561,23.4,0.4,1.3,.287
26,13.0,2.9,1.9,3.6,22.4,0.3,.117,.434,13,NBA,551,Dirk Nowitzki,-1.6,5.0,0.9,20.1,27,PF,False,2004-05,1.7,DAL,9.8,13.4,.505,27.0,0.5,1.2,.104
27,12.6,1.2,7.9,2.5,28.0,1.6,.160,.547,23,NBA,983,Dirk Nowitzki,5.4,5.6,3.8,26.8,27,PF,False,2005-06,1.4,DAL,8.6,16.5,.596,26.9,2.4,5.4,.263
28,10.4,3.2,2.1,2.7,20.5,0.1,.202,.532,6,NBA,239,Dirk Nowitzki,-0.5,11.5,0.5,20.9,27,PF,False,2006-07,2.4,DAL,10.8,15.9,.509,23.7,0.3,0.6,.128
29,20.9,2.4,7.1,3.9,27.9,0.0,.198,.571,5,NBA,211,Dirk Nowitzki,3.2,5.0,0.8,26.3,27,PF,False,2007-08,0.3,DAL,8.1,15.8,.588,27.2,0.5,0.9,.196
30,15.2,1.7,5.0,1.6,26.6,0.2,.124,.547,10,NBA,394,Dirk Nowitzki,3.4,3.9,1.7,28.4,27,PF,False,2008-09,1.2,DAL,9.8,15.8,.635,28.2,0.7,2.0,.238
31,16.8,1.3,8.2,1.6,20.1,0.3,.066,.396,6,NBA,233,Dirk Nowitzki,6.5,3.4,1.1,28.3,27,PF,False,2009-10,1.2,DAL,7.4,11.8,.643,27.0,0.6,1.4,.291
