age,ast,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,gs,lg_id,mp,name,orb,pf,pid,pos,pts,ring,season,stl,team_id,tov,trb
23,15,,,.532,33,32,.542,59,1,.250,4,.524,63,5,1.000,5,6,,ABA,170,Mike Pratt,,23,175,SG,72,False,1971-72,,KEN,11,17
24,14,6,19,.404,19,19,.413,46,0,.000,1,.404,47,8,.400,20,9,,NBA,150,Paul Pressey,14,23,176,SG,46,False,1982-83,9,MIL,18,33
25,50,9,42,.520,52,52,.536,97,0,.000,3,.520,100,38,.679,56,16,,NBA,351,Paul Pressey,17,53,176,SG,142,False,1983-84,22,MIL,38,59
26,61,5,33,.517,45,44,.518,85,1,.333,3,.511,88,31,.816,38,8,8,NBA,296,Paul Pressey,15,27,176,SF,122,False,1984-85,18,MIL,32,48
27,110,13,41,.503,76,70,.504,139,6,.333,18,.484,157,67,.761,88,14,14,NBA,530,Paul Pressey,19,48,176,SF,225,False,1985-86,18,MIL,50,60
28,103,8,34,.469,68,67,.486,138,1,.125,8,.466,146,34,.739,46,12,12,NBA,465,Paul Pressey,28,51,176,SF,171,False,1986-87,28,MIL,35,62
29,33,3,13,.470,23,22,.468,47,1,.333,3,.460,50,23,.767,30,5,5,NBA,178,Paul Pressey,6,21,176,SG,70,False,1987-88,4,MIL,16,19
31,30,1,13,.432,19,19,.463,41,0,.000,3,.432,44,21,.808,26,4,2,NBA,129,Paul Pressey,8,14,176,SG,59,False,1989-90,6,MIL,7,21
32,16,3,6,.422,13,12,.429,28,1,.250,4,.406,32,6,.667,9,4,0,NBA,124,Paul Pressey,5,15,176,SG,33,False,1990-91,8,SAS,6,11
33,3,1,2,.361,6,5,.313,16,1,.500,2,.333,18,0,,0,3,2,NBA,46,Paul Pressey,1,9,176,SG,13,False,1991-92,3,SAS,5,3
23,0,,,.333,3,3,.333,9,0,,0,.333,9,6,.545,11,6,,ABA,18,Marlbert Pradd,,3,177,SG,12,False,1967-68,,NOB,3,5
24,1,,,.545,10,6,.375,16,4,.667,6,.455,22,4,.571,7,7,,ABA,39,Marlbert Pradd,,7,177,SG,28,False,1968-69,,NOB,4,4
23,1,0,0,.000,0,0,.000,4,0,,0,.000,4,0,,0,6,0,NBA,25,Josh Powell,2,5,180,PF,0,False,2005-06,0,DAL,1,2
24,0,1,0,,0,0,,0,0,,0,,0,1,.500,2,4,0,NBA,6,Josh Powell,1,0,180,PF,1,False,2006-07,0,GSW,0,1
26,4,1,10,.442,11,10,.400,25,1,1.000,1,.423,26,6,1.000,6,14,0,NBA,73,Josh Powell,7,8,180,PF,29,True,2008-09,0,LAL,4,17
27,1,0,4,.375,3,3,.429,7,0,.000,1,.375,8,3,.750,4,13,0,NBA,40,Josh Powell,2,9,180,PF,9,True,2009-10,0,LAL,1,6
28,1,0,6,.556,5,5,.556,9,0,,0,.556,9,0,,0,9,0,NBA,48,Josh Powell,3,8,180,PF,10,False,2010-11,0,ATL,2,9
25,17,,,.438,63,63,.444,142,0,.000,2,.438,144,61,.836,73,8,,ABA,334,Cincinnatus Powell,,30,181,SF,187,False,1967-68,,DLC,28,87
26,10,,,.452,51,50,.442,113,1,1.000,1,.447,114,37,.860,43,7,,ABA,227,Cincinnatus Powell,,21,181,SF,140,False,1968-69,,DLC,22,68
27,29,,,.472,51,51,.486,105,0,.000,3,.472,108,29,.707,41,6,,ABA,219,Cincinnatus Powell,,22,181,SF,131,False,1969-70,,DLC,26,81
