age,ast_per_g,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,lg_id,mp_per_g,name,orb_per_g,pf_per_g,pid,pos,pts_per_g,ring,season,stl_per_g,team_id,tov_per_g,trb_per_g
30,4.0,0.6,2.7,.422,.465,5.7,12.3,.174,0.6,3.3,.404,6.3,15.6,.964,3.9,4.0,7,7,NBA,40.7,John Salmons,1.0,2.7,1514,SG,17.0,False,2009-10,1.4,MIL,1.7,3.7
34,0.8,0.0,1.0,.353,.600,0.5,0.8,.167,0.3,2.0,.294,0.8,2.8,1.000,0.2,0.2,6,0,NBA,12.8,John Salmons,0.0,1.5,1514,SG,2.2,False,2013-14,0.3,TOR,0.2,1.0
26,2.0,,,,,,,,,,.375,3.0,8.0,.750,1.5,2.0,2,,BAA,,Kenny Sailors,,4.0,1512,,7.5,False,1946-47,,CLR,,
22,0.7,1.1,2.8,.500,.500,2.2,4.4,,0.0,0.0,.500,2.2,4.4,.643,1.8,2.8,15,0,NBA,20.7,John Salley,2.0,4.0,1513,C,6.2,False,1986-87,0.2,DET,0.9,4.8
23,0.9,1.6,4.0,.538,.544,2.4,4.5,.000,0.0,0.0,.538,2.4,4.5,.710,2.1,3.0,23,0,NBA,27.1,John Salley,2.8,3.8,1513,C,7.0,False,1987-88,0.7,DET,1.0,6.7
24,0.5,1.5,2.6,.586,.586,3.4,5.8,,0.0,0.0,.586,3.4,5.8,.667,2.1,3.2,17,0,NBA,23.1,John Salley,2.0,3.4,1513,PF,8.9,True,1988-89,0.5,DET,0.7,4.6
25,1.0,1.7,3.0,.475,.475,2.9,6.1,,0.0,0.0,.475,2.9,6.1,.755,3.7,4.9,20,0,NBA,27.4,John Salley,2.9,3.8,1513,PF,9.5,True,1989-90,0.5,DET,1.1,5.9
26,0.7,1.3,2.8,.543,.543,2.5,4.7,,0.0,0.0,.543,2.5,4.7,.600,2.4,4.0,15,0,NBA,20.5,John Salley,1.3,3.9,1513,PF,7.5,False,1990-91,0.4,DET,0.9,4.1
27,2.8,2.8,4.0,.455,.465,4.0,8.6,.000,0.0,0.2,.455,4.0,8.8,.821,4.6,5.6,5,1,NBA,29.8,John Salley,2.0,3.6,1513,PF,12.6,False,1991-92,0.6,DET,1.8,6.0
29,1.6,1.0,4.8,.386,.386,4.4,11.4,,0.0,0.0,.386,4.4,11.4,.688,2.2,3.2,5,5,NBA,40.2,John Salley,3.2,4.2,1513,PF,11.0,False,1993-94,0.4,MIA,1.2,8.0
31,0.4,0.1,0.4,.545,.545,0.4,0.7,,0.0,0.0,.545,0.4,0.7,.286,0.1,0.4,16,0,NBA,5.3,John Salley,0.3,1.6,1513,PF,0.9,True,1995-96,0.1,CHI,0.3,0.7
35,0.2,0.3,0.7,.385,.385,0.3,0.7,,0.0,0.0,.385,0.3,0.7,.700,0.4,0.6,18,0,NBA,4.3,John Salley,0.5,0.9,1513,C,0.9,True,1999-00,0.1,LAL,0.2,1.2
29,1.7,,,,,,,,,,.393,7.3,18.7,.794,9.0,11.3,3,,BAA,,Ed Sadowski,,3.3,1511,,23.7,False,1946-47,,CLR,,
30,2.0,,,,,,,,,,.345,6.3,18.3,.605,7.7,12.7,3,,BAA,,Ed Sadowski,,5.7,1511,,20.3,False,1947-48,,BOS,,
31,1.5,,,,,,,,,,.214,3.0,14.0,.615,4.0,6.5,2,,BAA,,Ed Sadowski,,3.0,1511,,10.0,False,1948-49,,PHW,,
23,0.0,0.0,1.0,.000,.000,0.0,0.5,,0.0,0.0,.000,0.0,0.5,,0.0,0.0,2,0,NBA,2.0,Robert Sacre,0.0,0.0,1510,C,0.0,False,2012-13,0.5,LAL,0.0,1.0
31,1.8,0.6,7.8,.463,.417,6.0,14.4,.556,1.0,1.8,.432,7.0,16.2,.717,8.6,12.0,5,5,NBA,35.4,Arvydas Sabonis,2.4,3.4,1509,C,23.6,False,1995-96,0.8,POR,2.0,10.2
32,2.3,0.8,4.5,.452,.471,4.0,8.5,.250,0.5,2.0,.429,4.5,10.5,.875,1.8,2.0,4,4,NBA,27.0,Arvydas Sabonis,2.0,4.8,1509,C,11.3,False,1996-97,0.8,POR,2.3,6.5
33,1.5,0.8,6.0,.463,.447,4.3,9.5,.500,0.3,0.5,.450,4.5,10.0,.857,3.0,3.5,4,4,NBA,26.8,Arvydas Sabonis,1.8,4.8,1509,C,12.3,False,1997-98,1.8,POR,2.5,7.8
34,2.2,1.2,7.8,.403,.407,3.4,8.3,.200,0.1,0.4,.398,3.5,8.7,.907,3.0,3.3,13,13,NBA,30.2,Arvydas Sabonis,0.9,2.7,1509,C,10.0,False,1998-99,1.2,POR,1.5,8.8
35,1.9,0.8,5.5,.473,.481,3.9,8.1,.286,0.4,1.3,.453,4.3,9.4,.796,2.4,3.1,16,16,NBA,30.8,Arvydas Sabonis,1.2,3.7,1509,C,11.3,False,1999-00,0.9,POR,1.6,6.7
36,2.7,2.3,5.7,.483,.519,4.7,9.0,.000,0.0,0.7,.483,4.7,9.7,.750,2.0,2.7,3,3,NBA,34.7,Arvydas Sabonis,2.7,4.0,1509,C,11.3,False,2000-01,0.3,POR,0.7,8.3
38,0.8,0.7,3.0,.667,.667,4.0,6.0,,0.0,0.0,.667,4.0,6.0,.800,2.0,2.5,6,1,NBA,14.3,Arvydas Sabonis,1.0,2.3,1509,C,10.0,False,2002-03,0.7,POR,1.0,4.0
22,0.8,0.2,3.8,.500,.394,2.6,6.6,.800,0.8,1.0,.447,3.4,7.6,1.000,0.4,0.4,5,0,NBA,19.4,Evan Turner,0.8,1.8,1507,SG,8.0,False,2010-11,0.6,PHI,0.0,4.6
23,2.5,0.5,6.5,.364,.378,4.3,11.4,.000,0.0,0.5,.364,4.3,11.8,.688,2.5,3.7,13,12,NBA,34.5,Evan Turner,1.1,2.8,1507,SF,11.2,False,2011-12,0.9,PHI,2.3,7.5
25,1.6,0.0,2.2,.486,.393,0.9,2.3,.571,0.3,0.6,.429,1.3,2.9,1.000,0.4,0.4,12,0,NBA,12.4,Evan Turner,0.0,0.8,1507,SF,3.3,False,2013-14,0.3,IND,0.9,2.2
26,4.8,0.0,6.8,.386,.350,3.5,10.0,.500,0.5,1.0,.364,4.0,11.0,.889,2.0,2.3,4,4,NBA,29.5,Evan Turner,0.5,2.8,1507,SG,10.5,False,2014-15,0.8,BOS,2.3,7.3
27,4.5,1.0,4.3,.382,.394,4.7,11.8,.214,0.5,2.3,.365,5.2,14.2,.778,2.3,3.0,6,4,NBA,35.7,Evan Turner,1.3,3.2,1507,SG,13.2,False,2015-16,1.3,BOS,2.8,5.7
28,3.8,0.5,5.0,.439,.389,1.8,4.5,.333,1.3,3.8,.364,3.0,8.3,.750,3.0,4.0,4,4,NBA,31.0,Evan Turner,0.8,1.8,1507,SF,10.3,False,2016-17,1.8,POR,1.8,5.8
29,3.3,0.3,2.3,.394,.385,3.3,8.7,.286,0.7,2.3,.364,4.0,11.0,1.000,0.7,0.7,3,3,NBA,29.0,Evan Turner,1.7,2.7,1507,SF,9.3,False,2017-18,1.0,POR,2.0,4.0
31,1.1,0.3,4.2,.459,.429,0.9,2.1,.321,0.9,2.8,.367,1.8,4.9,.625,0.5,0.8,10,1,NBA,25.1,P.J. Tucker,1.5,2.7,1506,SF,5.0,False,2016-17,0.6,TOR,0.8,5.7
32,1.3,0.8,5.2,.644,.515,1.0,1.9,.467,2.1,4.4,.481,3.1,6.4,.667,0.7,1.1,17,17,NBA,33.5,P.J. Tucker,1.4,2.7,1506,PF,8.9,False,2017-18,0.6,HOU,0.8,6.5
22,2.2,1.0,10.4,.492,.510,5.0,9.8,.273,0.6,2.2,.467,5.6,12.0,.739,3.4,4.6,5,5,NBA,34.0,Karl-Anthony Towns,3.0,2.8,1503,C,15.2,False,2017-18,0.4,MIN,2.4,13.4
27,0.2,0.2,1.0,.821,.333,0.2,0.5,.636,1.2,1.8,.571,1.3,2.3,.333,0.2,0.5,6,0,NBA,11.3,Anthony Tolliver,0.5,1.2,1501,SF,4.0,False,2012-13,0.2,ATL,0.2,1.5
28,0.3,0.0,0.8,.750,,0.0,0.0,.500,0.3,0.5,.500,0.3,0.5,1.000,0.8,0.8,4,0,NBA,5.3,Anthony Tolliver,0.3,0.5,1501,PF,1.5,False,2013-14,0.0,CHA,0.0,1.0
30,0.3,0.3,1.0,.500,1.000,0.7,0.7,.000,0.0,0.7,.500,0.7,1.3,,0.0,0.0,3,0,NBA,8.7,Anthony Tolliver,0.3,0.0,1501,PF,1.3,False,2015-16,0.0,DET,0.0,1.3
26,0.1,0.1,1.2,.435,.485,1.6,3.3,.238,0.5,2.1,.389,2.1,5.4,.667,1.2,1.8,10,0,NBA,12.4,Marcus Thornton,0.7,0.4,1498,SG,5.9,False,2013-14,0.2,BRK,0.2,1.9
23,0.5,1.2,6.4,.558,.558,3.6,6.5,,0.0,0.0,.558,3.6,6.5,.585,2.4,4.1,20,15,NBA,36.4,Tristan Thompson,4.4,2.5,1497,PF,9.6,False,2014-15,0.3,CLE,0.8,10.8
24,0.7,0.9,4.9,.527,.527,2.3,4.4,,0.0,0.0,.527,2.3,4.4,.575,2.0,3.5,21,21,NBA,29.6,Tristan Thompson,4.1,2.6,1497,PF,6.7,True,2015-16,0.4,CLE,0.8,9.0
25,1.4,0.7,4.5,.587,.587,3.0,5.1,,0.0,0.0,.587,3.0,5.1,.667,2.2,3.3,18,18,NBA,31.2,Tristan Thompson,3.8,2.0,1497,C,8.2,False,2016-17,0.5,CLE,1.2,8.3
26,0.6,0.4,3.6,.590,.598,2.6,4.3,.000,0.0,0.1,.590,2.6,4.4,.741,1.1,1.4,19,11,NBA,21.9,Tristan Thompson,2.3,1.4,1497,C,6.2,False,2017-18,0.1,CLE,0.6,5.9
22,1.8,0.6,3.8,.509,.443,4.3,9.6,.424,2.1,4.9,.437,6.3,14.5,.833,0.4,0.5,12,12,NBA,41.3,Klay Thompson,0.8,3.7,1496,SG,15.2,False,2012-13,1.0,GSW,2.0,4.6
23,3.6,0.7,2.9,.490,.444,3.4,7.7,.364,2.3,6.3,.408,5.7,14.0,.792,2.7,3.4,7,7,NBA,36.7,Klay Thompson,0.6,3.4,1496,SG,16.4,False,2013-14,1.0,GSW,2.1,3.4
24,2.6,0.9,3.4,.531,.489,4.4,9.0,.390,2.7,7.0,.446,7.1,15.9,.800,1.7,2.1,21,21,NBA,36.2,Klay Thompson,0.4,3.0,1496,SG,18.6,True,2014-15,0.8,GSW,2.0,3.9
25,2.3,0.4,3.0,.552,.464,4.3,9.3,.424,4.1,9.6,.444,8.4,18.9,.854,3.4,4.0,24,24,NBA,35.4,Klay Thompson,0.6,2.2,1496,SG,24.3,False,2015-16,1.1,GSW,2.0,3.7
26,2.1,0.3,3.2,.483,.405,3.1,7.7,.387,2.4,6.2,.397,5.5,13.9,.788,1.5,1.9,17,17,NBA,35.1,Klay Thompson,0.6,2.6,1496,SG,15.0,True,2016-17,0.8,GSW,1.4,3.9
27,1.8,0.3,3.6,.563,.497,4.4,8.8,.427,3.2,7.5,.465,7.6,16.3,.871,1.3,1.5,21,21,NBA,37.8,Klay Thompson,0.5,2.3,1496,SG,19.6,True,2017-18,0.8,GSW,1.5,4.1
25,7.0,0.0,2.8,.361,.417,3.8,9.0,.167,0.8,4.5,.333,4.5,13.5,.969,7.8,8.0,4,0,NBA,29.8,Isaiah Thomas,0.3,2.5,1492,PG,17.5,False,2014-15,0.8,BOS,3.5,3.0
26,5.0,0.8,2.7,.450,.466,5.7,12.2,.283,2.2,7.7,.395,7.8,19.8,.809,6.3,7.8,6,6,NBA,36.7,Isaiah Thomas,0.3,3.0,1492,PG,24.2,False,2015-16,0.7,BOS,2.3,3.0
27,6.7,0.1,2.8,.494,.490,5.0,10.2,.333,2.4,7.2,.425,7.4,17.4,.820,6.1,7.4,15,15,NBA,34.7,Isaiah Thomas,0.3,2.3,1492,PG,23.3,False,2016-17,0.9,BOS,3.3,3.1
23,0.3,0.0,0.3,.500,,0.0,0.0,.333,0.2,0.5,.333,0.2,0.5,1.000,0.2,0.2,6,0,NBA,2.5,Garrett Temple,0.0,0.2,1488,SG,0.7,False,2009-10,0.2,SAS,0.3,0.3
27,0.0,0.0,0.0,1.250,1.000,0.1,0.1,1.000,0.1,0.1,1.000,0.2,0.2,,0.0,0.0,10,0,NBA,0.9,Garrett Temple,0.0,0.5,1488,SG,0.5,False,2013-14,0.0,WAS,0.1,0.0
28,0.3,0.0,0.5,.167,.333,0.3,0.8,.000,0.0,0.8,.167,0.3,1.5,.625,1.3,2.0,4,0,NBA,6.5,Garrett Temple,0.3,1.0,1488,SG,1.8,False,2014-15,0.5,WAS,0.8,0.8
21,0.4,0.1,0.2,.381,.313,0.6,1.8,.400,0.2,0.6,.333,0.8,2.3,,0.0,0.0,9,0,NBA,6.6,Jeff Teague,0.0,0.3,1485,PG,1.8,False,2009-10,0.3,ATL,0.4,0.2
22,3.5,0.4,2.1,.521,.554,4.5,8.1,.143,0.1,0.9,.514,4.6,9.0,.826,2.4,2.9,8,6,NBA,29.8,Jeff Teague,0.0,1.3,1485,PG,11.8,False,2010-11,0.8,ATL,1.0,2.1
23,4.2,0.8,3.0,.459,.411,3.8,9.3,.412,1.2,2.8,.411,5.0,12.2,.895,2.8,3.2,6,6,NBA,37.5,Jeff Teague,0.7,3.0,1485,PG,14.0,False,2011-12,0.8,ATL,1.7,3.7
24,5.0,0.3,2.3,.352,.338,4.0,11.8,.300,0.5,1.7,.333,4.5,13.5,.821,3.8,4.7,6,6,NBA,35.5,Jeff Teague,0.5,2.8,1485,PG,13.3,False,2012-13,1.5,ATL,2.3,2.8
25,5.0,0.6,3.0,.433,.412,5.0,12.1,.333,1.3,3.9,.393,6.3,16.0,.950,5.4,5.7,7,7,NBA,34.6,Jeff Teague,0.7,2.1,1485,PG,19.3,False,2013-14,1.0,ATL,3.0,3.7
26,6.7,0.4,2.6,.454,.443,4.8,10.9,.323,1.3,4.1,.410,6.1,14.9,.867,3.3,3.8,16,16,NBA,33.1,Jeff Teague,0.6,2.1,1485,PG,16.8,False,2014-15,1.5,ATL,2.7,3.2
27,6.2,0.2,1.6,.417,.435,3.7,8.5,.250,0.9,3.6,.380,4.6,12.1,.846,4.4,5.2,10,10,NBA,27.9,Jeff Teague,0.3,3.0,1485,PG,14.5,False,2015-16,0.6,ATL,2.5,1.9
28,6.3,0.8,3.3,.589,.464,3.3,7.0,.529,2.3,4.3,.489,5.5,11.3,.833,3.8,4.5,4,4,NBA,35.5,Jeff Teague,0.0,3.0,1485,PG,17.0,False,2016-17,1.0,IND,2.0,3.3
29,5.8,0.4,3.0,.520,.485,3.2,6.6,.389,1.4,3.6,.451,4.6,10.2,.706,2.4,3.4,5,5,NBA,30.6,Jeff Teague,0.6,3.8,1485,PG,13.0,False,2017-18,0.6,MIN,2.8,3.6
27,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1,0,NBA,1.0,Mirza Teletovic,0.0,0.0,1487,PF,0.0,False,2012-13,0.0,BRK,0.0,0.0
28,0.3,0.2,2.1,.555,.654,1.4,2.2,.339,1.6,4.7,.439,3.0,6.8,.667,0.7,1.0,12,0,NBA,18.3,Mirza Teletovic,1.3,1.2,1487,SF,8.3,False,2013-14,0.4,BRK,0.4,3.3
29,0.0,0.0,1.3,.000,.000,0.0,0.3,.000,0.0,1.3,.000,0.0,1.7,,0.0,0.0,3,0,NBA,5.3,Mirza Teletovic,0.0,0.3,1487,PF,0.0,False,2014-15,0.3,BRK,0.3,1.3
31,0.0,0.0,1.0,.250,.000,0.0,0.7,.250,0.3,1.3,.167,0.3,2.0,,0.0,0.0,3,0,NBA,9.0,Mirza Teletovic,0.0,1.0,1487,PF,1.0,False,2016-17,0.3,MIL,0.3,1.0
22,0.3,0.0,0.3,.000,.000,0.0,0.3,.000,0.0,0.3,.000,0.0,0.7,,0.0,0.0,3,0,NBA,3.3,Isaiah Taylor,0.3,0.3,1484,PG,0.0,False,2016-17,0.0,HOU,0.0,0.7
19,1.5,0.1,0.4,.294,.417,0.6,1.5,.000,0.0,0.6,.294,0.6,2.1,,0.0,0.0,8,0,NBA,9.0,Marquis Teague,0.0,1.3,1486,PG,1.3,False,2012-13,0.3,CHI,0.3,0.4
19,2.7,0.5,3.8,.515,.526,5.3,10.0,.324,1.2,3.7,.471,6.5,13.7,.845,4.3,5.1,19,19,NBA,35.9,Jayson Tatum,0.5,2.6,1482,SF,18.5,False,2017-18,1.2,BOS,2.2,4.4
23,0.5,,,,,,,,,,.429,6.0,14.0,.667,3.0,4.5,2,,NBA,27.5,Charlie Tyra,,2.5,1481,C,15.0,False,1958-59,,NYK,,15.5
27,0.2,0.6,0.4,.417,.417,2.0,4.8,,0.0,0.0,.417,2.0,4.8,.556,1.0,1.8,5,,NBA,8.4,Terry Tyler,1.0,0.8,1480,SF,5.0,False,1983-84,0.0,DET,0.2,1.4
28,0.3,0.4,2.8,.490,.495,5.4,11.0,.000,0.0,0.1,.490,5.4,11.1,.815,2.4,3.0,9,0,NBA,19.9,Terry Tyler,1.7,1.9,1480,SF,13.3,False,1984-85,0.7,DET,1.0,4.4
29,1.3,1.0,1.7,.200,.200,0.7,3.3,,0.0,0.0,.200,0.7,3.3,1.000,1.3,1.3,3,2,NBA,17.0,Terry Tyler,1.0,1.7,1480,SF,2.7,False,1985-86,0.7,SAC,0.3,2.7
23,0.5,,,,,,,,,,.333,7.5,22.5,.583,3.5,6.0,2,,NBA,37.0,Jack Twyman,,3.0,1477,SF,18.5,False,1957-58,,CIN,,11.0
27,3.0,,,,,,,,,,.436,8.5,19.5,1.000,2.0,2.0,4,,NBA,37.3,Jack Twyman,,4.5,1477,SF,19.0,False,1961-62,,CIN,,7.3
28,2.5,,,,,,,,,,.449,7.7,17.1,.844,5.4,6.4,12,,NBA,34.2,Jack Twyman,,3.9,1477,SF,20.8,False,1962-63,,CIN,,8.2
29,1.6,,,,,,,,,,.472,8.3,17.6,.796,3.9,4.9,10,,NBA,35.4,Jack Twyman,,4.1,1477,SF,20.5,False,1963-64,,CIN,,8.7
30,0.8,,,,,,,,,,.396,4.8,12.0,1.000,2.8,2.8,4,,NBA,24.3,Jack Twyman,,4.0,1477,SF,12.3,False,1964-65,,CIN,,4.3
31,0.0,,,,,,,,,,.500,1.0,2.0,.500,0.5,1.0,2,,NBA,5.5,Jack Twyman,,1.5,1477,SF,2.5,False,1965-66,,CIN,,1.0
22,1.5,,0.5,.429,.429,1.5,3.5,,0.0,0.0,.429,1.5,3.5,1.000,3.0,3.0,2,,ABA,14.5,Dave Twardzik,0.0,1.5,1476,PG,6.0,False,1972-73,,VIR,0.5,0.5
23,1.0,0.0,1.4,.412,.438,1.4,3.2,.000,0.0,0.2,.412,1.4,3.4,.733,2.2,3.0,5,,ABA,16.6,Dave Twardzik,1.4,2.4,1476,PG,5.0,False,1973-74,0.6,VIR,1.2,2.8
26,2.8,0.1,1.4,.591,.591,3.9,6.6,,,,.591,3.9,6.6,.729,3.1,4.2,14,,NBA,25.3,Dave Twardzik,0.3,3.4,1476,PG,10.9,True,1976-77,1.1,POR,,1.7
27,1.8,0.0,0.5,.478,.478,1.8,3.8,,,,.478,1.8,3.8,1.000,2.3,2.3,6,,NBA,18.0,Dave Twardzik,0.2,2.7,1476,PG,6.0,False,1977-78,1.2,POR,1.7,0.7
28,3.3,0.0,1.0,.500,.500,2.3,4.7,,,,.500,2.3,4.7,.917,3.7,4.0,3,,NBA,25.7,Dave Twardzik,1.3,4.7,1476,PG,8.3,False,1978-79,1.7,POR,3.0,2.3
29,1.0,0.0,1.5,.250,.250,0.5,2.0,,0.0,0.0,.250,0.5,2.0,,0.0,0.0,2,,NBA,10.0,Dave Twardzik,0.5,1.0,1476,PG,1.0,False,1979-80,1.0,POR,1.5,2.0
24,0.0,0.3,1.3,.632,.632,3.0,4.8,,0.0,0.0,.632,3.0,4.8,.500,0.3,0.5,4,0,NBA,11.3,Melvin Turpin,0.8,0.8,1475,C,6.3,False,1984-85,1.0,CLE,1.3,2.0
27,0.3,0.6,0.4,.333,.333,0.4,1.3,,0.0,0.0,.333,0.4,1.3,1.000,0.3,0.3,7,0,NBA,4.4,Melvin Turpin,0.4,0.7,1475,C,1.1,False,1987-88,0.1,UTA,0.3,0.9
22,0.7,0.0,0.7,.400,.400,0.7,1.7,,0.0,0.0,.400,0.7,1.7,,0.0,0.0,3,0,NBA,7.0,Jeff Turner,0.7,2.0,1472,PF,1.3,False,1984-85,0.0,NJN,0.0,1.3
23,1.0,0.0,1.0,.333,.333,0.3,1.0,,0.0,0.0,.333,0.3,1.0,1.000,0.3,0.3,3,0,NBA,6.0,Jeff Turner,0.0,2.3,1472,PF,1.0,False,1985-86,0.0,NJN,1.3,1.0
32,0.6,0.2,1.2,.563,.333,0.3,1.0,.500,0.6,1.2,.425,0.9,2.2,1.000,0.2,0.2,18,0,NBA,9.9,Jeff Turner,0.2,2.4,1472,PF,2.7,False,1994-95,0.2,ORL,0.3,1.4
24,1.0,,,,,,,,,,.333,1.0,3.0,.333,0.5,1.5,2,,NBA,8.0,Jack Turner,,0.5,1470,SF,2.5,False,1954-55,,NYK,,2.0
24,1.0,0.1,0.6,.350,.350,0.9,2.5,,0.0,0.0,.350,0.9,2.5,,0.0,0.0,8,,NBA,6.6,Elston Turner,0.6,0.5,1466,SF,1.8,False,1983-84,0.8,DAL,0.4,1.3
25,3.1,0.1,2.9,.500,.480,3.2,6.7,1.000,0.1,0.1,.490,3.3,6.8,.632,0.8,1.3,15,4,NBA,23.9,Elston Turner,2.0,2.8,1466,SF,7.6,False,1984-85,1.1,DEN,1.7,4.9
26,2.2,0.0,1.7,.546,.528,2.8,5.3,1.000,0.1,0.1,.537,2.9,5.4,.875,0.7,0.8,10,0,NBA,19.6,Elston Turner,1.2,1.9,1466,SG,6.6,False,1985-86,0.7,DEN,0.5,2.9
27,0.3,0.0,0.3,.800,.800,1.3,1.7,,0.0,0.0,.800,1.3,1.7,,0.0,0.0,3,0,NBA,8.3,Elston Turner,0.3,1.0,1466,SF,2.7,False,1986-87,0.7,CHI,0.0,0.7
28,1.5,0.0,1.0,.167,.167,0.3,1.5,,0.0,0.0,.167,0.3,1.5,,0.0,0.0,4,0,NBA,7.3,Elston Turner,0.3,0.5,1466,SF,0.5,False,1987-88,0.0,CHI,0.3,1.3
29,1.0,0.0,3.0,.462,.500,2.0,4.0,.000,0.0,0.3,.462,2.0,4.3,.333,0.7,2.0,3,0,NBA,24.7,Elston Turner,0.7,3.0,1466,SF,4.7,False,1988-89,0.3,DEN,0.0,3.7
23,1.1,,,,,,,,,,.475,2.1,4.4,.750,1.0,1.3,9,,NBA,16.4,Bill Turner,,3.3,1465,SF,5.2,False,1967-68,,SFW,,3.2
24,1.2,,,,,,,,,,.371,2.2,5.8,.636,1.2,1.8,6,,NBA,16.0,Bill Turner,,2.3,1465,SF,5.5,False,1968-69,,SFW,,4.2
26,0.5,,,,,,,,,,.200,0.5,2.5,.667,2.0,3.0,2,,NBA,9.0,Bill Turner,,1.0,1465,SF,3.0,False,1970-71,,SFW,,1.5
27,0.0,,,,,,,,,,1.000,0.7,0.7,,0.0,0.0,3,,NBA,3.0,Bill Turner,,0.0,1465,PF,1.3,False,1971-72,,GSW,,1.0
28,0.0,,,,,,,,,,.400,1.0,2.5,1.000,1.0,1.0,2,,NBA,6.5,Bill Turner,,0.5,1465,PF,3.0,False,1972-73,,LAL,,1.0
26,4.4,0.0,1.4,.469,.462,2.3,4.9,.333,0.4,1.1,.438,2.6,6.0,.813,1.6,2.0,8,0,NBA,23.6,Andre Turner,0.3,1.5,1464,PG,7.3,False,1990-91,1.4,PHI,1.0,1.6
23,0.0,0.0,1.0,.200,.250,0.5,2.0,.000,0.0,0.5,.200,0.5,2.5,1.000,1.0,1.0,2,0,NBA,5.0,Mirsad Turkcan,0.0,0.5,1462,PF,2.0,False,1999-00,0.0,MIL,1.5,1.0
21,1.4,0.1,2.6,.522,.375,1.5,4.0,.571,1.0,1.8,.435,2.5,5.8,1.000,1.5,1.5,8,0,NBA,17.6,Hedo Turkoglu,0.9,2.3,1463,SF,7.5,False,2000-01,0.4,SAC,0.8,3.5
22,1.4,0.6,4.1,.445,.417,2.7,6.4,.353,0.8,2.1,.401,3.4,8.6,.516,1.0,1.9,16,8,NBA,27.7,Hedo Turkoglu,1.1,3.1,1463,SF,8.6,False,2001-02,0.4,SAC,1.4,5.2
23,1.4,0.5,2.4,.400,.389,1.4,3.6,.286,0.4,1.4,.360,1.8,5.0,.722,1.3,1.8,10,5,NBA,17.4,Hedo Turkoglu,0.5,1.9,1463,SF,5.3,False,2002-03,1.2,SAC,0.5,2.9
24,1.5,0.1,4.0,.407,.308,1.2,3.9,.333,1.4,4.2,.321,2.6,8.1,.611,1.1,1.8,10,10,NBA,27.1,Hedo Turkoglu,0.5,2.0,1463,SF,7.7,False,2003-04,0.9,SAS,1.6,4.5
27,3.5,1.0,2.8,.530,.537,5.5,10.3,.333,0.8,2.3,.500,6.3,12.5,.500,0.5,1.0,4,4,NBA,39.0,Hedo Turkoglu,0.5,3.5,1463,SF,13.8,False,2006-07,1.3,ORL,2.5,3.3
28,5.5,0.2,5.0,.482,.500,5.3,10.6,.286,1.0,3.5,.447,6.3,14.1,.848,3.9,4.6,10,10,NBA,39.9,Hedo Turkoglu,1.4,3.5,1463,SF,17.5,False,2007-08,0.8,ORL,3.8,6.4
29,4.8,0.2,4.2,.481,.443,3.9,8.8,.386,1.3,3.5,.427,5.3,12.3,.817,3.9,4.8,24,24,NBA,38.9,Hedo Turkoglu,0.4,3.3,1463,SF,15.8,False,2008-09,0.8,ORL,2.7,4.5
31,3.7,0.2,3.0,.346,.342,2.2,6.3,.233,1.2,5.0,.294,3.3,11.3,.571,1.3,2.3,6,6,NBA,34.8,Hedo Turkoglu,0.2,3.0,1463,SF,9.2,False,2010-11,1.3,ORL,1.2,3.2
32,2.4,0.8,2.0,.427,.345,2.0,5.8,.417,1.0,2.4,.366,3.0,8.2,.636,1.4,2.2,5,5,NBA,32.4,Hedo Turkoglu,0.8,3.6,1463,SF,8.4,False,2011-12,1.0,ORL,1.8,2.8
34,0.2,0.0,1.0,.615,.667,0.4,0.6,.400,0.8,2.0,.462,1.2,2.6,,0.0,0.0,5,0,NBA,8.2,Hedo Turkoglu,0.0,0.6,1463,SF,3.2,False,2013-14,0.6,LAC,0.0,1.0
35,0.4,0.1,0.5,.294,.500,0.2,0.4,.154,0.2,1.2,.235,0.4,1.5,,0.0,0.0,11,0,NBA,5.0,Hedo Turkoglu,0.1,0.9,1463,SF,0.9,False,2014-15,0.4,LAC,0.2,0.6
23,0.8,0.0,1.2,.633,.615,1.3,2.2,.500,0.2,0.3,.600,1.5,2.5,.700,1.2,1.7,6,,NBA,14.2,Trent Tucker,0.3,1.2,1460,SG,4.3,False,1982-83,0.3,NYK,0.3,1.5
24,2.3,0.3,1.0,.506,.519,3.4,6.6,.200,0.1,0.4,.500,3.5,7.0,.600,0.5,0.8,12,,NBA,21.2,Trent Tucker,0.5,2.7,1460,SG,7.6,False,1983-84,0.9,NYK,1.0,1.5
28,1.0,0.0,0.5,.579,.333,0.5,1.5,.462,1.5,3.3,.421,2.0,4.8,.750,0.8,1.0,4,0,NBA,17.8,Trent Tucker,0.0,1.0,1460,SG,6.3,False,1987-88,0.8,NYK,0.3,0.5
