age,ast,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,gs,lg_id,mp,name,orb,pf,pid,pos,pts,ring,season,stl,team_id,tov,trb
37,14,0,8,.500,8,3,.300,10,5,.455,11,.381,21,0,,0,11,0,NBA,115,Lindsey Hunter,2,21,802,PG,21,False,2007-08,8,DET,5,10
38,5,0,5,.500,1,0,,0,1,.333,3,.333,3,3,.750,4,6,0,NBA,24,Lindsey Hunter,0,3,802,PG,6,False,2008-09,2,CHI,0,5
22,27,10,57,.500,84,84,.503,167,0,.000,1,.500,168,42,.636,66,11,11,NBA,393,Blake Griffin,19,41,801,PF,210,False,2011-12,20,LAC,25,76
23,15,5,25,.453,29,29,.453,64,0,,0,.453,64,21,.808,26,6,5,NBA,158,Blake Griffin,8,24,801,PF,79,False,2012-13,0,LAC,13,33
24,50,14,61,.502,117,116,.511,227,1,.143,7,.500,234,71,.740,96,13,13,NBA,478,Blake Griffin,35,54,801,PF,306,False,2013-14,16,LAC,31,96
25,86,14,140,.513,140,139,.521,267,1,.143,7,.511,274,76,.717,106,14,14,NBA,557,Blake Griffin,38,43,801,PF,357,False,2014-15,14,LAC,45,178
26,16,2,28,.387,20,19,.373,51,1,.500,2,.377,53,19,.760,25,4,4,NBA,127,Blake Griffin,7,9,801,PF,60,False,2015-16,3,LAC,9,35
27,7,1,15,.529,25,21,.467,45,4,.667,6,.490,51,7,1.000,7,3,3,NBA,99,Blake Griffin,3,2,801,PF,61,False,2016-17,2,LAC,6,18
24,0,1,3,.000,0,0,.000,1,0,.000,1,.000,2,2,1.000,2,5,0,NBA,8,JaMychal Green,0,1,799,PF,2,False,2014-15,1,MEM,0,3
25,3,5,10,.545,12,12,.571,21,0,.000,1,.545,22,3,.500,6,4,0,NBA,72,JaMychal Green,5,12,799,PF,27,False,2015-16,3,MEM,4,15
26,2,0,17,.569,17,10,.500,20,7,.438,16,.472,36,3,1.000,3,6,2,NBA,118,JaMychal Green,3,21,799,PF,44,False,2016-17,0,MEM,4,20
23,10,3,22,.386,23,15,.349,43,8,.296,27,.329,70,17,.850,20,6,6,NBA,224,Jeff Green,6,16,800,PF,71,False,2009-10,4,OKC,6,28
24,2,4,18,.500,23,16,.432,37,7,.438,16,.434,53,13,.722,18,9,0,NBA,173,Jeff Green,6,20,800,SF,66,False,2010-11,5,BOS,12,24
26,14,4,26,.494,37,27,.429,63,10,.455,22,.435,85,38,.844,45,6,6,NBA,258,Jeff Green,6,22,800,PF,122,False,2012-13,2,BOS,19,32
28,19,5,43,.352,36,32,.356,90,4,.222,18,.333,108,22,.846,26,11,2,NBA,298,Jeff Green,9,18,800,SF,98,False,2014-15,5,MEM,16,52
29,4,2,16,.500,21,17,.472,36,4,.400,10,.457,46,15,.600,25,6,1,NBA,159,Jeff Green,3,12,800,SF,61,False,2015-16,6,LAC,3,19
31,32,15,46,.482,58,37,.514,72,21,.300,70,.408,142,33,.717,46,22,2,NBA,523,Jeff Green,7,36,800,PF,170,False,2017-18,7,CLE,17,53
23,1,1,1,1.000,1,1,1.000,1,0,,0,1.000,1,0,,0,3,0,NBA,10,Brandon Hunter,2,2,796,PF,2,False,2003-04,0,BOS,1,3
24,20,,,,20,,,,,,,.345,58,12,.857,14,13,,NBA,175,Hot Rod Hundley,,15,795,PG,52,False,1958-59,,MNL,,23
25,55,,,,41,,,,,,,.336,122,24,.649,37,9,,NBA,337,Hot Rod Hundley,,18,795,SG,106,False,1959-60,,MNL,,61
26,45,,,,30,,,,,,,.297,101,20,.690,29,12,,NBA,287,Hot Rod Hundley,,19,795,SG,80,False,1960-61,,LAL,,41
27,32,,,,7,,,,,,,.280,25,9,.750,12,12,,NBA,187,Hot Rod Hundley,,27,795,SG,23,False,1961-62,,LAL,,18
28,5,,,,3,,,,,,,.300,10,3,1.000,3,7,,NBA,34,Hot Rod Hundley,,1,795,SG,9,False,1962-63,,LAL,,6
21,1,2,10,.333,3,3,.333,9,0,,0,.333,9,3,.375,8,6,0,NBA,69,Kris Humphries,7,11,794,PF,9,False,2006-07,1,TOR,3,17
22,0,0,0,,0,0,,0,0,,0,,0,0,,0,3,0,NBA,2,Kris Humphries,0,0,794,PF,0,False,2007-08,0,TOR,0,0
27,1,3,13,.452,14,14,.452,31,0,,0,.452,31,3,.429,7,7,0,NBA,83,Kris Humphries,10,15,794,PF,31,False,2012-13,1,BRK,2,23
29,0,0,3,1.000,1,1,1.000,1,0,,0,1.000,1,0,,0,1,0,NBA,5,Kris Humphries,0,1,794,PF,2,False,2014-15,0,WAS,0,3
30,4,5,16,.554,13,8,.444,18,5,.500,10,.464,28,6,1.000,6,4,0,NBA,56,Kris Humphries,8,9,794,PF,37,False,2015-16,2,ATL,2,24
31,0,1,0,,0,0,,0,0,,0,,0,0,,0,1,0,NBA,3,Kris Humphries,0,0,794,PF,0,False,2016-17,0,ATL,0,0
23,2,1,1,.417,2,1,.500,2,1,.250,4,.333,6,0,,0,4,0,NBA,7,Danny Green,0,1,790,SG,5,False,2010-11,1,SAS,1,1
24,15,10,42,.527,38,18,.545,33,20,.345,58,.418,91,7,.700,10,14,12,NBA,289,Danny Green,3,24,790,SG,103,False,2011-12,7,SAS,15,45
25,32,23,69,.594,83,28,.389,72,55,.482,114,.446,186,12,.800,15,21,21,NBA,669,Danny Green,18,51,790,SG,233,False,2012-13,22,SAS,19,87
26,21,17,60,.642,78,30,.517,58,48,.475,101,.491,159,9,.818,11,23,23,NBA,529,Danny Green,9,50,790,SG,213,True,2013-14,32,SAS,20,69
27,15,7,15,.443,21,9,.429,21,12,.300,40,.344,61,4,.667,6,7,7,NBA,204,Danny Green,7,12,790,SG,58,False,2014-15,7,SAS,5,22
28,7,8,31,.646,30,6,.353,17,24,.500,48,.462,65,2,.667,3,10,10,NBA,267,Danny Green,0,20,790,SG,86,False,2015-16,21,SAS,6,31
29,23,15,44,.523,45,19,.543,35,26,.342,76,.405,111,8,.571,14,16,16,NBA,436,Danny Green,13,30,790,SG,124,False,2016-17,10,SAS,17,57
30,1,4,7,.350,8,3,.300,10,5,.250,20,.267,30,0,,0,5,5,NBA,103,Danny Green,4,8,790,SG,21,False,2017-18,1,SAS,2,11
23,0,0,2,.321,4,3,.333,9,1,.200,5,.286,14,2,.500,4,6,0,NBA,26,Gerald Green,0,4,792,SG,11,False,2008-09,1,DAL,2,2
