age,and1s,astd_pts,drawn_shooting,fga_blkd,fouls_blocking,fouls_offensive,fouls_shooting,fouls_take,g,lg_id,mp,name,pct_1,pct_2,pct_3,pct_4,pct_5,pid,plus_minus_net,plus_minus_on,pos,ring,season,team_id,tov_bad_pass,tov_lost_ball,tov_other
24,0,2,0,0,0,0,1,0,3,NBA,11,Richaun Holmes,,,,,100%,853,-41.9,-38.1,C,False,2017-18,PHI,0,0,0
27,0,0,0,0,0,0,0,0,1,NBA,1,John Holland,,,,100%,,851,-94.4,-100.0,SF,False,2015-16,BOS,0,0,0
25,0,3,0,0,0,0,1,0,5,NBA,11,Justin Holiday,,58%,42%,,,850,-15.2,-6.8,SG,True,2014-15,GSW,1,0,0
20,0,60,5,5,0,0,6,0,5,NBA,188,Jrue Holiday,100%,,,,,849,13.9,-5.5,PG,False,2010-11,PHI,7,4,0
21,2,143,17,12,0,2,12,0,13,NBA,494,Jrue Holiday,53%,47%,,,,849,-13.5,-3.6,PG,False,2011-12,PHI,11,9,6
24,0,30,0,1,0,0,2,0,3,NBA,55,Jrue Holiday,19%,82%,,,,849,16.3,3.6,PG,False,2014-15,NOP,3,2,0
27,2,131,13,8,0,0,10,1,9,NBA,348,Jrue Holiday,,23%,77%,,,849,13.9,2.6,SG,False,2017-18,NOP,15,8,0
22,0,0,0,0,0,0,0,0,1,NBA,1,Solomon Hill,,,100%,,,846,0.8,0.0,SF,False,2013-14,IND,0,0,0
24,0,20,6,3,1,1,11,0,7,NBA,198,Solomon Hill,,,74%,26%,,846,8.9,5.4,SF,False,2015-16,IND,0,2,1
26,0,16,4,3,0,1,9,0,9,NBA,114,Solomon Hill,,,76%,24%,,846,-3.8,-2.8,SF,False,2017-18,NOP,4,1,1
22,0,4,2,3,,0,3,0,4,NBA,76,George Hill,16%,85%,,,,845,10.8,0.0,PG,False,2008-09,SAS,2,0,0
23,1,15,11,5,,2,11,0,10,NBA,344,George Hill,37%,63%,,,,845,-13.1,-8.0,PG,False,2009-10,SAS,4,2,2
24,1,32,6,3,1,0,6,0,6,NBA,189,George Hill,34%,66%,,,,845,-4.8,-5.2,PG,False,2010-11,SAS,4,1,3
25,1,76,16,2,0,2,10,0,11,NBA,346,George Hill,93%,7%,,,,845,30.5,12.6,PG,False,2011-12,IND,15,1,6
